iter	Passed	Remaining
0	98	98699
1	111	55602
2	120	40170
3	129	32300
4	136	27252
5	143	23729
6	151	21503
7	157	19578
8	168	18542
9	175	17325
10	183	16480
11	190	15694
12	198	15091
13	205	14444
14	213	14007
15	219	13511
16	227	13134
17	234	12779
18	240	12421
19	249	12201
20	255	11895
21	263	11708
22	269	11453
23	277	11270
24	284	11098
25	291	10909
26	298	10745
27	304	10571
28	312	10478
29	319	10318
30	327	10226
31	333	10093
32	340	9982
33	347	9883
34	354	9767
35	362	9710
36	368	9600
37	378	9585
38	386	9530
39	396	9505
40	402	9417
41	410	9371
42	417	9285
43	425	9239
44	431	9160
45	439	9104
46	445	9031
47	452	8979
48	459	8921
49	465	8853
50	474	8830
51	480	8760
52	488	8721
53	495	8673
54	502	8639
55	509	8595
56	516	8541
57	523	8506
58	529	8451
59	538	8432
60	545	8403
61	554	8384
62	561	8351
63	570	8345
64	578	8318
65	588	8323
66	595	8290
67	603	8274
68	610	8232
69	617	8209
70	624	8166
71	630	8126
72	639	8120
73	645	8078
74	654	8069
75	660	8031
76	668	8015
77	677	8007
78	685	7995
79	692	7965
80	701	7955
81	707	7918
82	714	7897
83	721	7869
84	727	7834
85	735	7820
86	742	7789
87	750	7773
88	757	7749
89	765	7742
90	771	7711
91	779	7689
92	787	7679
93	793	7646
94	801	7633
95	807	7605
96	815	7592
97	821	7560
98	828	7541
99	835	7516
100	841	7487
101	849	7475
102	855	7447
103	862	7432
104	868	7406
105	875	7381
106	883	7376
107	890	7351
108	898	7343
109	904	7319
110	911	7303
111	918	7280
112	924	7258
113	932	7244
114	938	7220
115	945	7208
116	951	7184
117	958	7164
118	965	7146
119	971	7121
120	979	7115
121	986	7097
122	993	7086
123	999	7063
124	1005	7040
125	1013	7029
126	1019	7008
127	1027	6998
128	1033	6977
129	1039	6957
130	1047	6950
131	1057	6955
132	1065	6946
133	1075	6949
134	1084	6951
135	1094	6951
136	1101	6936
137	1110	6938
138	1117	6919
139	1124	6909
140	1131	6894
141	1139	6884
142	1146	6873
143	1155	6867
144	1203	7095
145	1216	7114
146	1226	7115
147	1245	7169
148	1251	7145
149	1259	7137
150	1265	7115
151	1273	7102
152	1279	7083
153	1286	7067
154	1293	7054
155	1299	7031
156	1307	7020
157	1313	6999
158	1320	6983
159	1326	6966
160	1332	6946
161	1340	6936
162	1346	6916
163	1354	6906
164	1360	6886
165	1367	6868
166	1374	6855
167	1380	6836
168	1388	6827
169	1395	6811
170	1402	6800
171	1409	6783
172	1415	6765
173	1422	6753
174	1429	6737
175	1436	6727
176	1442	6707
177	1448	6689
178	1456	6678
179	1462	6660
180	1470	6652
181	1475	6633
182	1482	6619
183	1490	6610
184	1496	6592
185	1504	6583
186	1510	6566
187	1517	6555
188	1523	6538
189	1531	6529
190	1538	6514
191	1543	6497
192	1552	6489
193	1557	6472
194	1564	6460
195	1571	6446
196	1577	6429
197	1585	6423
198	1592	6411
199	1600	6402
200	1606	6385
201	1612	6369
202	1619	6358
203	1625	6343
204	1635	6341
205	1641	6328
206	1649	6320
207	1655	6304
208	1663	6295
209	1670	6283
210	1676	6268
211	1685	6264
212	1691	6248
213	1699	6240
214	1705	6226
215	1712	6214
216	1718	6201
217	1724	6186
218	1732	6179
219	1738	6164
220	1746	6155
221	1752	6140
222	1757	6125
223	1765	6116
224	1771	6100
225	1778	6091
226	1785	6079
227	1791	6065
228	1798	6055
229	1804	6041
230	1812	6034
231	1818	6020
232	1826	6012
233	1833	6001
234	1839	5987
235	1848	5983
236	1854	5970
237	1863	5965
238	1870	5954
239	1878	5949
240	1885	5937
241	1893	5929
242	1899	5916
243	1907	5911
244	1914	5901
245	1920	5887
246	1929	5881
247	1935	5869
248	1943	5862
249	1950	5850
250	1958	5843
251	1965	5832
252	1971	5822
253	1979	5815
254	1986	5802
255	1994	5795
256	1999	5782
257	2007	5774
258	2013	5761
259	2019	5748
260	2026	5738
261	2032	5725
262	2040	5718
263	2046	5705
264	2052	5692
265	2059	5683
266	2065	5670
267	2073	5662
268	2080	5653
269	2087	5644
270	2094	5633
271	2100	5621
272	2108	5614
273	2114	5601
274	2121	5592
275	2127	5580
276	2133	5567
277	2141	5560
278	2146	5548
279	2154	5540
280	2160	5528
281	2166	5515
282	2175	5510
283	2180	5498
284	2188	5490
285	2194	5478
286	2201	5469
287	2207	5458
288	2213	5445
289	2221	5438
290	2227	5426
291	2234	5417
292	2240	5406
293	2246	5394
294	2254	5387
295	2260	5376
296	2267	5367
297	2274	5358
298	2280	5346
299	2289	5342
300	2295	5331
301	2303	5323
302	2309	5312
303	2316	5303
304	2323	5293
305	2328	5281
306	2336	5275
307	2342	5263
308	2349	5253
309	2355	5243
310	2362	5233
311	2370	5227
312	2376	5216
313	2383	5208
314	2389	5196
315	2396	5188
316	2404	5179
317	2410	5169
318	2418	5163
319	2424	5152
320	2432	5145
321	2438	5134
322	2445	5125
323	2452	5116
324	2458	5105
325	2466	5099
326	2472	5089
327	2480	5082
328	2487	5072
329	2493	5061
330	2501	5055
331	2507	5045
332	2516	5040
333	2522	5029
334	2530	5022
335	2536	5012
336	2542	5001
337	2549	4992
338	2554	4981
339	2562	4974
340	2569	4965
341	2575	4954
342	2582	4946
343	2587	4935
344	2595	4927
345	2601	4917
346	2607	4907
347	2614	4898
348	2620	4888
349	2628	4880
350	2633	4870
351	2639	4859
352	2647	4851
353	2652	4840
354	2660	4833
355	2668	4827
356	2675	4818
357	2681	4808
358	2687	4798
359	2695	4792
360	2701	4781
361	2708	4774
362	2715	4764
363	2720	4754
364	2728	4747
365	2734	4737
366	2742	4729
367	2748	4719
368	2754	4709
369	2761	4702
370	2767	4692
371	2774	4684
372	2780	4674
373	2786	4664
374	2794	4657
375	2800	4647
376	2807	4639
377	2813	4629
378	2819	4619
379	2827	4612
380	2832	4602
381	2840	4595
382	2847	4587
383	2854	4579
384	2862	4572
385	2868	4562
386	2876	4555
387	2882	4545
388	2889	4538
389	2895	4528
390	2901	4518
391	2908	4511
392	2914	4502
393	2922	4494
394	2928	4485
395	2934	4475
396	2941	4467
397	2947	4458
398	2955	4451
399	2962	4443
400	2968	4434
401	2975	4426
402	2981	4416
403	2988	4409
404	2994	4399
405	3001	4391
406	3008	4382
407	3013	4373
408	3021	4366
409	3027	4356
410	3034	4348
411	3041	4341
412	3048	4332
413	3056	4326
414	3062	4316
415	3069	4309
416	3075	4300
417	3081	4290
418	3089	4283
419	3095	4274
420	3102	4267
421	3108	4258
422	3115	4249
423	3121	4241
424	3127	4231
425	3135	4224
426	3141	4215
427	3147	4206
428	3154	4198
429	3160	4189
430	3168	4182
431	3175	4174
432	3183	4168
433	3189	4159
434	3196	4151
435	3204	4144
436	3210	4135
437	3218	4129
438	3224	4120
439	3232	4113
440	3238	4105
441	3245	4096
442	3253	4090
443	3259	4081
444	3267	4075
445	3274	4067
446	3282	4061
447	3289	4052
448	3296	4045
449	3303	4037
450	3309	4028
451	3317	4022
452	3324	4013
453	3332	4007
454	3338	3999
455	3346	3992
456	3352	3983
457	3359	3975
458	3367	3969
459	3373	3960
460	3381	3953
461	3388	3945
462	3396	3939
463	3402	3930
464	3410	3923
465	3418	3917
466	3424	3908
467	3432	3902
468	3439	3893
469	3448	3888
470	3454	3880
471	3463	3874
472	3470	3866
473	3479	3861
474	3485	3852
475	3493	3845
476	3499	3837
477	3506	3828
478	3514	3822
479	3520	3814
480	3529	3807
481	3535	3799
482	3543	3792
483	3550	3785
484	3557	3777
485	3565	3770
486	3571	3761
487	3579	3755
488	3585	3746
489	3593	3740
490	3599	3731
491	3607	3724
492	3614	3716
493	3620	3708
494	3628	3702
495	3635	3694
496	3644	3688
497	3651	3680
498	3659	3674
499	3665	3665
500	3673	3659
501	3680	3651
502	3689	3645
503	3697	3639
504	3706	3633
505	3713	3625
506	3723	3620
507	3730	3613
508	3739	3606
509	3747	3600
510	3754	3593
511	3762	3585
512	3769	3578
513	3776	3570
514	3782	3562
515	3790	3555
516	3797	3547
517	3805	3540
518	3811	3532
519	3818	3524
520	3825	3517
521	3832	3509
522	3840	3502
523	3846	3494
524	3853	3486
525	3860	3478
526	3866	3470
527	3873	3462
528	3879	3453
529	3886	3446
530	3892	3437
531	3898	3429
532	3906	3422
533	3911	3413
534	3919	3406
535	3925	3398
536	3931	3389
537	3938	3382
538	3944	3374
539	3952	3366
540	3958	3358
541	3964	3350
542	3972	3342
543	3977	3334
544	3985	3327
545	3991	3319
546	3997	3310
547	4004	3303
548	4010	3294
549	4018	3288
550	4024	3279
551	4031	3271
552	4037	3263
553	4043	3255
554	4051	3248
555	4057	3240
556	4064	3232
557	4070	3224
558	4076	3216
559	4084	3209
560	4089	3200
561	4096	3192
562	4102	3184
563	4108	3175
564	4115	3168
565	4121	3160
566	4127	3152
567	4134	3144
568	4140	3136
569	4147	3128
570	4154	3121
571	4160	3113
572	4168	3106
573	4176	3099
574	4184	3093
575	4190	3085
576	4199	3078
577	4205	3070
578	4213	3063
579	4219	3055
580	4226	3048
581	4233	3040
582	4239	3032
583	4247	3025
584	4253	3017
585	4260	3010
586	4267	3002
587	4273	2994
588	4281	2987
589	4287	2979
590	4295	2972
591	4300	2964
592	4307	2956
593	4314	2948
594	4320	2940
595	4327	2933
596	4333	2925
597	4339	2917
598	4347	2910
599	4353	2902
600	4361	2895
601	4367	2887
602	4374	2879
603	4381	2872
604	4387	2864
605	4396	2858
606	4402	2850
607	4410	2843
608	4416	2835
609	4423	2828
610	4430	2820
611	4437	2813
612	4445	2806
613	4452	2798
614	4461	2792
615	4467	2785
616	4476	2778
617	4482	2770
618	4490	2763
619	4496	2756
620	4502	2748
621	4511	2741
622	4516	2733
623	4524	2726
624	4531	2718
625	4539	2711
626	4547	2705
627	4554	2698
628	4561	2690
629	4567	2682
630	4576	2676
631	4582	2668
632	4590	2661
633	4596	2653
634	4604	2646
635	4610	2638
636	4616	2630
637	4626	2624
638	4632	2616
639	4640	2610
640	4646	2602
641	4653	2595
642	4661	2587
643	4667	2580
644	4675	2573
645	4681	2565
646	4689	2558
647	4695	2550
648	4704	2544
649	4710	2536
650	4717	2529
651	4724	2521
652	4730	2513
653	4739	2507
654	4744	2499
655	4752	2492
656	4759	2484
657	4765	2476
658	4772	2469
659	4779	2461
660	4787	2455
661	4793	2447
662	4801	2440
663	4807	2432
664	4815	2425
665	4822	2418
666	4828	2410
667	4837	2404
668	4844	2396
669	4853	2390
670	4860	2383
671	4870	2377
672	4877	2369
673	4886	2363
674	4893	2356
675	4903	2350
676	4910	2342
677	4920	2337
678	4929	2330
679	4937	2323
680	4945	2316
681	4954	2310
682	4963	2303
683	4970	2296
684	4978	2289
685	4986	2282
686	4995	2275
687	5003	2268
688	5012	2262
689	5020	2255
690	5029	2249
691	5038	2242
692	5047	2235
693	5057	2229
694	5067	2223
695	5075	2216
696	5083	2210
697	5092	2203
698	5101	2196
699	5109	2189
700	5118	2183
701	5127	2176
702	5135	2169
703	5145	2163
704	5154	2156
705	5163	2150
706	5171	2143
707	5181	2136
708	5189	2129
709	5198	2123
710	5206	2116
711	5216	2110
712	5226	2103
713	5236	2097
714	5246	2091
715	5255	2084
716	5264	2077
717	5273	2071
718	5281	2064
719	5291	2057
720	5300	2051
721	5311	2045
722	5319	2038
723	5329	2031
724	5337	2024
725	5348	2018
726	5358	2012
727	5366	2005
728	5376	1998
729	5384	1991
730	5394	1985
731	5402	1978
732	5412	1971
733	5421	1964
734	5430	1957
735	5439	1951
736	5448	1944
737	5458	1937
738	5466	1930
739	5476	1924
740	5484	1916
741	5493	1910
742	5502	1903
743	5510	1896
744	5519	1889
745	5527	1882
746	5536	1875
747	5545	1868
748	5554	1861
749	5562	1854
750	5572	1847
751	5580	1840
752	5590	1833
753	5598	1826
754	5608	1819
755	5617	1812
756	5625	1805
757	5634	1798
758	5643	1792
759	5653	1785
760	5661	1778
761	5671	1771
762	5680	1764
763	5691	1757
764	5700	1751
765	5708	1743
766	5718	1737
767	5726	1729
768	5736	1723
769	5745	1716
770	5754	1709
771	5764	1702
772	5772	1695
773	5783	1688
774	5792	1681
775	5802	1674
776	5811	1667
777	5821	1661
778	5830	1654
779	5840	1647
780	5850	1640
781	5859	1633
782	5870	1626
783	5880	1620
784	5888	1612
785	5898	1605
786	5906	1598
787	5916	1591
788	5928	1585
789	5938	1578
790	5948	1571
791	5956	1564
792	5967	1557
793	5976	1550
794	5984	1543
795	5993	1536
796	6002	1528
797	6012	1521
798	6021	1514
799	6031	1507
